02/12 17:22:02 FINE aw.TACAgent|Log for game 78 started
02/12 17:24:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65497 auction=13 state=valid
02/12 17:24:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65498 auction=14 state=valid
02/12 17:24:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65499 auction=15 state=valid
02/12 17:24:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? true, HQW:2
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 121565
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 0
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current Price is: 111.0
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current Price is: 211
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:24:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? true, HQW:3
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 121632
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 146
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current Price is: 111.0
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current Price is: 135
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:24:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? true, HQW:0
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 121642
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 158
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current Price is: 111.0
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Current Price is: 147
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:24:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:24:03 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 0, 0, 1, 0, 0]
02/12 17:24:03 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 0]
02/12 17:24:03 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:24:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65500 auction=12 state=valid
02/12 17:24:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65501 auction=13 state=valid
02/12 17:24:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65502 auction=14 state=valid
02/12 17:24:03 FINE aw.PostTraumaticAgent|Hotel auction Good Hotel 4 closed!
02/12 17:24:03 FINE aw.PostTraumaticAgent|              and of course it was not added before in the closed list, right? true
02/12 17:24:03 FINE aw.PostTraumaticAgent|Old allocation: 2
02/12 17:24:03 FINE aw.PostTraumaticAgent|New allocation: 0
02/12 17:24:03 FINE aw.PostTraumaticAgent|Own: 2
02/12 17:24:13 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 0, 0, 1, 0, 0]
02/12 17:24:13 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:24:13 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 1, 0, 0, 0, 1]
02/12 17:24:13 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:24:13 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? true
02/12 17:24:13 FINE aw.PostTraumaticAgent|Bid Updated: id=65601 auction=7 state=transacted
02/12 17:24:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65500 auction=12 state=valid
02/12 17:24:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65501 auction=13 state=valid
02/12 17:24:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65502 auction=14 state=valid
02/12 17:24:23 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:24:23 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:24:23 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:24:23 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:24:33 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:24:33 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:24:33 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:24:33 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:24:43 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:24:43 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:24:43 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:24:43 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:24:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65500 auction=12 state=valid
02/12 17:24:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65501 auction=13 state=valid
02/12 17:24:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65502 auction=14 state=valid
02/12 17:24:53 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:24:53 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:24:53 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:24:53 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:24:59 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:24:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:2
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 177324
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 0
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current Price is: 211.0
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current Price is: 311
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:24:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:3
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:24:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65604 auction=12 state=valid
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 177331
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 146
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current Price is: 246.0
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current Price is: 200
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:24:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:0
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:24:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65605 auction=13 state=valid
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 177338
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 158
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current Price is: 267.0
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Current Price is: 209
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:24:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:24:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65606 auction=14 state=valid
02/12 17:25:01 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:25:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:2
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 179324
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 0
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current Price is: 311.0
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current Price is: 411
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:25:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:3
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:25:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65607 auction=12 state=valid
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 179331
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 146
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current Price is: 311.0
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current Price is: 265
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:25:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:0
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65608 auction=13 state=valid
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 2
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 179338
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 158
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current Price is: 329.0
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Current Price is: 271
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 3
02/12 17:25:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 180000
02/12 17:25:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65609 auction=14 state=valid
02/12 17:25:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? true, HQW:2
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 181670
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 47
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current Price is: 411.0
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current Price is: 464
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:25:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? true, HQW:5
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 181682
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 174
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current Price is: 376.0
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current Price is: 302
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:25:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? true, HQW:5
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 181692
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 197
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current Price is: 391.0
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Current Price is: 294
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:25:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:25:03 FINE aw.PostTraumaticAgent|Hotel auction Cheap Hotel 1 closed!
02/12 17:25:03 FINE aw.PostTraumaticAgent|              and of course it was not added before in the closed list, right? true
02/12 17:25:03 FINE aw.PostTraumaticAgent|Old allocation: 0
02/12 17:25:03 FINE aw.PostTraumaticAgent|New allocation: 0
02/12 17:25:03 FINE aw.PostTraumaticAgent|Own: 0
02/12 17:25:03 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:25:03 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:25:03 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:25:03 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
